InvestpyId,StockName,scrip,ICICISCRIP
divi,Divis Laboratories,DIVISLAB,
axbk,AxisBank,AXISBANK,
hdbk,HDFC Bank,HDFCBANK,
ktkm,Kotak Mahindra Bank,KOTAKBANK,
colg,Colgate Palmolive,COLPAL,
infy,Infosys,INFY,
teml,Tech Mahindra,TECHM,
hznc,hindustan Zinc,HINDZINC,
INED,Naukri,NAUKRI,
beml,beml,BEML,
brit,Britannia,BRITANNIA,
pvrl,PVR,PVR,
hclt,HCL Technologies,HCLTECH,
godr,Godrej Properties,GODREJPROP,
gmri,GMR Infra,GMRINFRA,
itc,ITC,ITC,
ongc,ONGC,ONGC,
bjfn,Bajaj Finance,BAJFINANCE,
alem,alembic pharma,APLLTD,
nest,Nestle,NESTLE,
zee,Zee Limited,ZEEL,
mrco,marico,MARICO,
hll,Hindustan Unilever,HINDUNILVR,
Coal,Coalindia,COALINDIA,
Jstl,JSW Steel,JSWSTEEL,
tisc,Tata Steel,TATASTEEL,
vdan,Vedanta,VEDL,
asok,Ashok Leyland,ASHOKLEY,
baja,Bajaj Auto,BAJAJ-AUTO,
hrom,Hero Motors,HEROMOTOCO,
mrti,Maruti,MARUTI,
moss,Motherson Sumi,MOTHERSUMI,
aplo,Apollo Tyres,APOLLOTYRE,
cipl,Cipla,CIPLA,
lupn,Lupin,LUPIN,
arbn,Aurobindo Pharma,AUROPHARMA,
upll,UPL,UPL,
siem,Siemens,SIEMENS,
mutt,Muthoot Finance,MUTHOOTFIN,
pira,Piramal Enterprises,PEL,
hvel,Havells,HAVELLS,
igas,indraprastha Gas,IGL,
cumm,Cummins India,CUMMINSIND,
icbk,ICICI Bank,ICICIBANK,
inbk,IndusInd Bank,INDUSINDBK,
fed,Federal Bank,FEDERALBNK,
inbf,Indiabulls Hsg Fin,IBULHSGFIN,
lich,LIC Housing Finance,LICHSGFIN,
brgr,Berger Paints,BERGEPAINT,
ioc,Indian Oil Corporation,IOC,
acc,ACC,ACC,
shcm,Shree Cement,SHREECEM,
pfiz,Pfizer,PFIZER,
apse,Adani Ports,ADANIPORTS,
brti,Bharti Airtel,BHARTIARTL,
dlf,DLF,DLF,
bob,Bank of Baroda,BANKBARODA,
pnbk,Punjab National Bank,PNB,
cnbk,Canara Bank,CANBK,
hdfc,HDFC,HDFC,
wipr,Wipro,WIPRO,
jubi,Jubilant Foodworks,JUBLFOOD,
volt,Voltas,VOLTAS,
ratb,RBL Bank,RBLBANK,
mnfl,Manapuram Finance,MANAPPURAM,
lart,Larsen & Toubro,LT,
srtr,Shriram Transport Fin Co,SRTRANSFIN,
ttch,Tata Chemicals,TATACHEM,
tamo,Tata Motors,TATAMOTORS,
bpcl,Bharat Petroleum,BPCL,
abuj,Ambuja Cement,AMBUJACEM,
ltfh,L&T Finance Holdings,L&TFH,
titn ,Titan,TITAN,
hpcl,Hindustan Petroleum,HINDPETRO,
jnsp,Jindal Steel & Power,JINDALSTEL,
hdfl,HDFC Life Ins Co,HDFCLIFE,
redy,Dr Reddy Laboratories,DRREDDY,
pwfc,Power Fin Corp,PFC,
eich,Eicher,EICHER,
gocp,Godrej Consumer,GODREJCP,
icir,ICICI Prudential,ICICIPRU,
mgas,Mahanagar Gas,MGL,
recm,REC Limited,REC,
torp,Torrent Pharma,TORNTPHARM,
idfb,IDFC first bank,IDFCFIRSTB,
maxi,MAX Financial Serv,MFSL,
ttpw,Tata Power,TATAPOWER,
bfrg,Bharat Forge,BHARaTFORG,
adel,Adani Enterprises,ADANIENT,
bion,Biocon,BIOCON,
nalu,National Aluminum,NATIONALUM,
mahm,mahindra&mahindra,M&M,
CHLA,Chola Financial,CHOLAFIN,
MRF,MRF Ltd,MRF,
BANH,BandhanBank,BANDHANBNK,
GAIL,Gail,GAIL,
bhel,bhel,BHEL,
plng,petronet,PETRONET,
bata,bata,BATA,
BLKI,Balkishna industries,BALKRISIND,
PAGE,Page Industies,PAGEIND,
halc,hindalco,HINDALCO,
arti,Aarti industries,AARTIIIND,
srfl,srf,SRF,
gras,grasim,GRASIM,
sutv,suntv,SUNTV,
tvsm,TVS motor,TVSMOTOR,
ctbk,city union bank,CUB,
dpnt,deepak nitride,DEEPAKNTR,
gran,granules,GRANULES,
ggas,gujarat gas,GUJGASLTD,
inir,irctc,IRCTC,
nafl,navin flourine,NAVINFLUOR,
piil,pi industries,PIIND,
tren,trent,TRENT,
exid,Exide ,EXIDE,
mint,Mindtree,MINDTREE,
lteh,l&t technology services,LTTS,
lrti,l&tinfotech,LTI,
mbfl,mphasis,MPHASIS,
ingl,Indigo,INDIGO,
mmfs,M&M Finance,M&mFIN,
ntpc,NTPC,NTPC,
baje,Bharat Electronics,BHEL,
alke,akem lab,ALKEM,
